发票代码,发票号码,开票日期,验证码
044001629111,64504308,20230105,01136308927145314480
044002211211,00549819,20230107,82575095701966523814
044002200511,04951636,20230103,77791259292388743614
044002200511,05152033,20230104,62628162030312179702
044002200511,05149601,20230102,71189086402337217400
044002200511,05352921,20230107,77814711173681063088
044002200511,05224514,20230110,70490416740478345893
044002200511,05494648,20230113,62135873871881813130
044002200511,05507285,20230128,51810693620096660703
044002200511,05509605,20230130,75984851643537706338
044002200511,05509590,20230130,47751238391504533157
044002200511,10671246,20230113,56977950620149689815
044002200511,10818411,20230130,43166626780490796878
044002243111,08627263,20230116,54599984693593226722
044002200511,10750939,20230130,79974406694053345065
044002200511,12229361,20230107,07001546685447442021
044002200511,10884415,20230130,81415120170057115126
044002200511,12291201,20230114,09949142547037765547
044002200511,14088046,20230127,49294380643368490432
044002100411,15021488,20230106,58002714984041351057
044002200511,12338893,20230119,13058627623806139173
044002100411,15046654,20230112,50064595761683499977
044002100411,15345118,20230102,57613501891789698392
044002207111,15663162,20230120,13823575772052870427
044002207111,15640532,20230114,06014296792031969359
044002207111,15661755,20230120,04290383015464122649
044002207111,15640144,20230113,09889643512851028114
044002200511,16258058,20230128,62685706803170980421
044002200511,16193050,20230128,59545120461871696197
044002200511,17557756,20230126,07162792431132186294
044002211211,16648285,20230109,69197720971009527244
044002200511,17566244,20230128,16390409996483848279
044002200511,17553045,20230125,07334890938470091389
044002207111,21092447,20230112,62474241351258180888
044002200711,20204230,20230111,48045610962268642133
044002207111,21196830,20230114,83820791640140668764
044002207111,21201205,20230120,71879473761096502915
044002207111,21145392,20230113,70410763530547788541
044002207111,21145842,20230114,77940492850191068153
044002207111,21302712,20230127,51740890232833908248
044002207111,21249351,20230117,48793649281080820618
044002207111,21473251,20230112,57620439513955398393
044002207111,21471957,20230102,85287499051178896195
044002207111,21393134,20230111,75510509210512491649
044002207111,21473498,20230114,64429594220240978996
044002207111,22528310,20230119,80863371460214629850
044002200611,25423809,20230117,49043579412069699082
044002100211,24098806,20230103,12179019501324535873
044002200611,25422508,20230114,47611551412592335741
044002200611,25421722,20230113,55869407162675541548
044002211211,26876450,20230110,57438146130444943856
044002211211,26875453,20230107,60893617884048580112
044002207111,32670739,20230117,64462973490112290124
044002207111,30958237,20230105,76083666323086720052
044002207111,33077881,20230113,64911019831536189718
044002207111,33175428,20230116,50567590480653593648
044002007111,33918111,20230128,02533436445374638745
044001623111,33676621,20230106,11490297278545927635
044002007111,33918160,20230129,06365619404465325216
044002207111,34997578,20230108,64457542610070425963
044002207111,34997956,20230109,67234663301499919805
044002207111,34998175,20230109,75293014953337533129
044002207111,35039701,20230104,77274114903079173182
044002207111,35039306,20230103,74569033934115565295
044002207111,35041171,20230109,79681390952689242750
044002207111,35040145,20230106,50499368892888994558
044002207111,35040678,20230107,67642917660195009366
044002207111,35041340,20230110,63946041003457858272
044002207111,35041540,20230111,44470064550109134098
044002207111,35041470,20230110,53956288271602926730
044002207111,35041630,20230111,83258497993458412382
044002207111,35041961,20230112,79448896494140139706
044002207111,35041829,20230111,83519520333939661177
044002207111,35042040,20230112,46272001363949142637
044002207111,35042328,20230113,66920905263467546363
044002207111,35042266,20230113,80339694364207409689
044002207111,35042456,20230113,45680201112660042162
044002207111,35042850,20230115,49532079070935176932
044002207111,35042680,20230114,46223736192944428516
044002207111,35042901,20230115,54546912091643851359
044002207111,35043019,20230116,73742389863734081759
044002207111,35043245,20230116,54126747210230958311
044002207111,35043704,20230118,57600176921186119812
044002207111,35043816,20230119,53656648681897752384
044002207111,35043620,20230118,81339641390424723042
044002207111,35043317,20230117,63265345152201194969
044002207111,35043891,20230119,81737853541771624708
044002207111,35043942,20230119,83674092044067605560
044002200511,35074737,20230113,84705241674192466779
044002207111,35044006,20230120,65058335420046553873
044002207111,35044126,20230120,68387044774029542463
044002207111,35045027,20230129,48431260551072894423
044002200511,35121164,20230106,50323227280912969527
044002200511,35101729,20230103,47963412782607088277
044001641111,35564884,20230104,07874160221523621699
044032200111,35286507,20230126,63189828983966203305
044002115111,35262045,20230119,00104889467348878322
044002200511,35421861,20230110,58461323023616163810
044001641111,35564922,20230105,00900575973936190650
044001641111,35564950,20230106,16880053317689839533
044001641111,35565437,20230116,13325803040856266419
044001641111,35565261,20230113,11316138249190260684
044001641111,35566033,20230129,01592107589628579961
044002207111,36295393,20230129,80070167960843251054
044002207111,36298654,20230128,47584366693846428486
044002115111,39633129,20230102,78491558252953791399
044001619111,40899157,20230129,61858735451550386473
044002200511,47880540,20230119,07310597168485394634
044001619111,40899159,20230129,70988982002476858406
044002200511,39926587,20230120,48400034651579449594
044002200411,48331308,20230110,48438560902429444890
044002200411,48333665,20230113,54873880810346136902
044002200411,48617240,20230112,69500254721666153192
044002200511,48470562,20230112,78518162260248772510
044002200511,48611064,20230106,84441677933298057918
044002200411,59680524,20230113,69511373570364893283
044002207111,58724391,20230126,05058385167935828703
044002007111,54817085,20230110,78485321050552167583
044002207111,61114405,20230117,05466337700471323413
044002111211,61464148,20230104,61792014550750988524
044002207111,61113888,20230112,03563407601592060554
044001907111,63811281,20230103,81933742531929021019
044002207111,61752508,20230118,74564030883947972139
044002207111,62493566,20230128,02585830393268704795
044001909211,69221207,20230103,45762806101296460846
